time_original,well,OD,isolate,well,hh,mm,ss,time_h
11:15:00,A2,0.1731,ATT 3A4,A2,11,15,0,11.25
11:30:00,A2,0.1743,ATT 3A4,A2,11,30,0,11.5
11:45:00,A2,0.1799,ATT 3A4,A2,11,45,0,11.75
12:00:00,A2,0.19,ATT 3A4,A2,12,0,0,12
12:15:00,A2,0.2002,ATT 3A4,A2,12,15,0,12.25
12:30:00,A2,0.2097,ATT 3A4,A2,12,30,0,12.5
12:45:00,A2,0.2171,ATT 3A4,A2,12,45,0,12.75
13:00:00,A2,0.2218,ATT 3A4,A2,1,0,0,1
13:15:00,A2,0.2232,ATT 3A4,A2,1,15,0,1.25
13:30:00,A2,0.2036,ATT 3A4,A2,1,30,0,1.5
13:45:00,A2,0.1818,ATT 3A4,A2,1,45,0,1.75
14:00:00,A2,0.267,ATT 3A4,A2,2,0,0,2
14:15:00,A2,0.1615,ATT 3A4,A2,2,15,0,2.25
14:30:00,A2,0.1588,ATT 3A4,A2,2,30,0,2.5
14:45:00,A2,0.1532,ATT 3A4,A2,2,45,0,2.75
15:00:00,A2,0.2965,ATT 3A4,A2,3,0,0,3
15:15:00,A2,0.1481,ATT 3A4,A2,3,15,0,3.25
15:30:00,A2,1.3913,ATT 3A4,A2,3,30,0,3.5
15:45:00,A2,0.2138,ATT 3A4,A2,3,45,0,3.75
16:00:00,A2,0.7623,ATT 3A4,A2,4,0,0,4
16:15:00,A2,0.1524,ATT 3A4,A2,4,15,0,4.25
16:30:00,A2,0.3771,ATT 3A4,A2,4,30,0,4.5
16:45:00,A2,0.4189,ATT 3A4,A2,4,45,0,4.75
17:00:00,A2,0.187,ATT 3A4,A2,5,0,0,5
17:15:00,A2,0.2165,ATT 3A4,A2,5,15,0,5.25
17:30:00,A2,0.1457,ATT 3A4,A2,5,30,0,5.5
17:45:00,A2,0.1475,ATT 3A4,A2,5,45,0,5.75
18:00:00,A2,0.1471,ATT 3A4,A2,6,0,0,6
18:15:00,A2,0.1724,ATT 3A4,A2,6,15,0,6.25
18:30:00,A2,0.2312,ATT 3A4,A2,6,30,0,6.5
18:45:00,A2,0.224,ATT 3A4,A2,6,45,0,6.75
19:00:00,A2,0.3089,ATT 3A4,A2,7,0,0,7
19:15:00,A2,0.15,ATT 3A4,A2,7,15,0,7.25
19:30:00,A2,1.1691,ATT 3A4,A2,7,30,0,7.5
19:45:00,A2,0.2522,ATT 3A4,A2,7,45,0,7.75
20:00:00,A2,0.1493,ATT 3A4,A2,8,0,0,8
20:15:00,A2,0.9537,ATT 3A4,A2,8,15,0,8.25
20:30:00,A2,0.2159,ATT 3A4,A2,8,30,0,8.5
20:45:00,A2,0.1663,ATT 3A4,A2,8,45,0,8.75
21:00:00,A2,0.1967,ATT 3A4,A2,9,0,0,9
21:15:00,A2,0.2909,ATT 3A4,A2,9,15,0,9.25
21:30:00,A2,0.1485,ATT 3A4,A2,9,30,0,9.5
